Store Name,Store Number,Phone Number,Address,Url,Longitude,Latitude,City,State
Alabaster Promenade,null,12055641095,"100 S Colonial Dr. Suite 2350 Alabaster, Alabama 35007 US",https://locations.fivebelow.com/al/alabaster/100-s-colonial-dr,-86.80477209397785,33.22669761757409,alabaster,al
Albertville,null,12566661330,"Hwy 431 & North Carlisle St. Albertville, Alabama 35951 US",https://locations.fivebelow.com/al/albertville/hwy-431-&-north-carlisle-st,-86.20574546004511,34.27511647485005,albertville,al
Covington Mall,null,13342615178,"140 Covington Mall Drive Andalusia, Alabama 36420 US",https://locations.fivebelow.com/al/andalusia/140-covington-mall-drive,-86.49632147666792,31.316753936186828,andalusia,al
Athens Marketplace,null,12562853105,"1061 Kelli Drive Unit E Athens, Alabama 35613 US",https://locations.fivebelow.com/al/athens/1061-kelli-drive,-86.9363786,34.78325,athens,al
Tannehill Promenade,null,12052166926,"4921 Promenade Parkway Bessemer, Alabama 35022 US",https://locations.fivebelow.com/al/bessemer/4921-promenade-parkway,-86.9917713,33.3355181,bessemer,al
Cullman Shopping Center,null,12567365496,"1230 Cullman Shopping Ctr NW Cullman, Alabama 35055 US",https://locations.fivebelow.com/al/cullman/1230-cullman-shopping-ctr-nw,-86.8515326482057,34.18369138477791,cullman,al
Jubilee Square,null,12513165980,"6850-13 Highway 90 Daphne, Alabama 36526 US",https://locations.fivebelow.com/al/daphne/6850-13-highway-90,-87.90646091312817,30.652568074774795,daphne,al
The Crossings of Decatur,null,12563015402,"1241 Pointe Mallard Parkway Decatur, Alabama 35601 US",https://locations.fivebelow.com/al/decatur/1241-pointe-mallard-parkway,-86.97220940510181,34.558809265450684,decatur,al
Dothan,null,13347925144,"3500 Ross Clark Cir Suite 710 Dothan, Alabama 36303 US",https://locations.fivebelow.com/al/dothan/3500-ross-clark-cir,-85.42472093427,31.246033853943974,dothan,al
Baldwin Square,null,12513613150,"197 Baldwin Square I Fairhope, Alabama 36532 US",https://locations.fivebelow.com/al/fairhope/197-baldwin-square,-87.88555822514857,30.520680148599716,fairhope,al
Cox Creek Shopping Center,null,12567603589,"390 Cox Creek Parkway Florence, Alabama 35630 US",https://locations.fivebelow.com/al/florence/390-cox-creek-parkway,-87.63710564135283,34.84236185773595,florence,al
